"","word","ar_orf","es_orf","mx_orf","aes_orf","ar_ord","es_ord","mx_ord","aes_ord"
"35191","sudamericano",0.12,0.29,0,0.15,0.08,0.11,0,0.07
"35192","sudamos",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"35193","sudan",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"35194","sudando",0.12,0.29,0.93,0.42,0.08,0.16,0.59,0.26
"35195","sudar",0.12,0.29,0,0.15,0.08,0.16,0,0.09
"35196","sudden",0.12,0,0,0.04,0.08,0,0,0.02
"35197","sudeste",0.24,0.19,0,0.15,0.16,0.11,0,0.09
"35198","sudoeste",0.36,0,0,0.11,0.08,0,0,0.02
"35199","sudoku",0.12,0,0,0.04,0.08,0,0,0.02
"35200","sudor",0.36,0.48,1.59,0.76,0.23,0.27,0.59,0.35
"35201","sue",0.12,0,0,0.04,0.08,0,0,0.02
"35202","suecas",0.24,0,0,0.08,0.08,0,0,0.02
"35203","suecia",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"35204","sueco",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"35205","suegra",2.03,2.49,1.99,2.2,0.7,0.49,0.5,0.56
"35206","suegrito",0.24,0,0.4,0.19,0.08,0,0.17,0.07
"35207","suegro",2.87,0.86,1.33,1.63,0.39,0.38,0.5,0.42
"35208","suegros",0.48,0.29,0.4,0.38,0.31,0.16,0.08,0.19
"35209","suela",0.24,0,0.27,0.15,0.16,0,0.17,0.09
"35210","suelas",0.24,0.1,0.13,0.15,0.16,0.05,0.08,0.09
"35211","sueldan",0.12,0,0,0.04,0.08,0,0,0.02
"35212","suelden",0.12,0,0,0.04,0.08,0,0,0.02
"35213","sueldo",4.07,2.2,3.06,3.04,1.72,0.77,1.43,1.23
"35214","sueldos",0.96,0.19,0.27,0.46,0.47,0.11,0.17,0.23
"35215","suele",0.96,1.05,1.59,1.18,0.55,0.6,0.84,0.65
"35216","suelen",0.36,0.77,0.4,0.53,0.23,0.44,0.25,0.33
"35217","suelo",5.74,8.99,6.38,7.21,2.19,3.55,2.35,2.81
"35218","suelos",0.24,0.29,0,0.19,0.16,0.16,0,0.12
"35219","suelta",1.32,4.69,5.58,3.87,0.78,1.69,2.02,1.51
"35220","suéltala",0.36,1.24,1.06,0.91,0.08,0.49,0.5,0.37
"35221","suéltalo",0.12,0.86,0.27,0.46,0.08,0.38,0.17,0.23
"35222","suéltalos",0.12,0,0,0.04,0.08,0,0,0.02
"35223","suéltame",1.32,4.5,3.72,3.27,0.55,1.31,1.6,1.16
"35224","sueltan",0.24,0.29,0.4,0.3,0.16,0.11,0.25,0.16
"35225","sueltas",0.84,0.29,0.13,0.42,0.23,0.11,0.08,0.14
"35226","suelte",1.68,2.49,1.73,2.01,0.55,0.71,1.01,0.74
"35227","suéltela",0.24,0.19,0.93,0.42,0.16,0.11,0.42,0.21
"35228","suelteló",0.36,0,0,0.11,0.08,0,0,0.02
"35229","suéltelo",0.12,0.19,0.4,0.23,0.08,0.11,0.25,0.14
"35230","suélteme",0.24,1.05,3.32,1.44,0.16,0.49,1.18,0.58
"35231","suelten",0.12,0.67,1.59,0.76,0.08,0.38,0.84,0.42
"35232","suéltenla",0.24,0,0.27,0.15,0.08,0,0.08,0.05
"35233","suéltenme",0.36,0.19,2.13,0.8,0.08,0.05,0.76,0.26
"35234","sueltes",0.12,1.91,0.27,0.87,0.08,0.71,0.17,0.37
"35235","suelto",2.15,3.44,1.06,2.35,1.17,1.31,0.59,1.07
"35236","sueltos",0.6,0.57,0.13,0.46,0.39,0.33,0.08,0.28
"35237","suena",17.11,11.48,4.92,11.39,3.59,3.17,2.44,3.09
"35238","sueña",0.36,0.57,0.66,0.53,0.23,0.33,0.34,0.3
"35239","suenan",0.84,0.67,0.66,0.72,0.47,0.33,0.25,0.35
"35240","sueñas",0.48,0.29,0.66,0.46,0.16,0.11,0.42,0.21
"35241","suénate",0.12,0.19,0.13,0.15,0.08,0.11,0.08,0.09
"35242","suene",0.24,1.05,0.4,0.61,0.16,0.38,0.25,0.28
"35243","sueñe",0.12,0.1,0.27,0.15,0.08,0.05,0.17,0.09
"35244","sueñes",0.36,0.48,0.13,0.34,0.16,0.22,0.08,0.16
"35245","sueño",12.33,12.05,11.56,12,3.67,3.66,3.95,3.74
"35246","sueños",4.55,5.17,3.85,4.59,2.11,1.86,2.02,1.98
"35247","suero",0.36,0,0.53,0.27,0.23,0,0.17,0.12
"35248","sueros",0.12,0,0,0.04,0.08,0,0,0.02
"35249","suerte",31.48,28.6,26.71,28.97,7.27,6.45,6.3,6.65
"35250","suertudo",0.12,0,0,0.04,0.08,0,0,0.02
"35251","suéter",0.24,0,0.27,0.15,0.16,0,0.17,0.09
"35252","suevia",0.36,0,0,0.11,0.08,0,0,0.02
"35253","suff",0.12,0,0,0.04,0.08,0,0,0.02
"35254","suffit",0.12,0,0,0.04,0.08,0,0,0.02
"35255","sufggí",0.12,0,0,0.04,0.08,0,0,0.02
"35256","suficiente",5.98,9.28,9.97,8.43,2.81,3.39,3.78,3.33
"35257","suficientemente",0.72,0.96,1.06,0.91,0.39,0.55,0.5,0.49
"35258","suficientes",0.84,1.24,2.92,1.59,0.47,0.66,1.6,0.86
"35259","sufra",0.36,0.29,1.2,0.57,0.23,0.16,0.59,0.3
"35260","sufre",1.91,0.96,1.73,1.48,1.17,0.49,0.76,0.77
"35261","sufren",0.36,0.77,0.27,0.49,0.23,0.44,0.17,0.3
"35262","sufrí",0.36,0.1,0.27,0.23,0.23,0.05,0.17,0.14
"35263","sufría",0.24,1.15,0.4,0.65,0.16,0.55,0.17,0.33
"35264","sufríamos",0.12,0,0,0.04,0.08,0,0,0.02
"35265","sufrido",1.68,2.2,1.59,1.86,0.86,0.98,0.84,0.91
"35266","sufriendo",1.2,1.24,1.59,1.33,0.78,0.66,0.84,0.74
"35267","sufrieron",0.36,0.1,0.13,0.19,0.23,0.05,0.08,0.12
"35268","sufrimiento",0.6,1.63,0.93,1.1,0.31,0.6,0.42,0.47
"35269","sufrimientos",0.24,0.29,0.8,0.42,0.16,0.16,0.5,0.26
"35270","sufrimos",0.48,0,0.13,0.19,0.31,0,0.08,0.12
"35271","sufrió",1.56,0.48,1.46,1.1,0.94,0.27,0.92,0.65
"35272","sufrir",4.79,2.77,4.78,3.99,2.11,1.15,2.1,1.7
"35273","sufriría",0.12,0,0,0.04,0.08,0,0,0.02
"35274","sufriste",0.12,0,0,0.04,0.08,0,0,0.02
"35275","sufro",0.72,0.67,1.46,0.91,0.39,0.38,0.59,0.44
"35276","sugerencia",0.12,0.19,0.27,0.19,0.08,0.11,0.17,0.12
"35277","sugerencias",0.12,0,0,0.04,0.08,0,0,0.02
"35278","sugerir",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"35279","sugeriría",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"35280","sugestionados",0.12,0,0,0.04,0.08,0,0,0.02
"35281","sugiéranles",0.12,0,0,0.04,0.08,0,0,0.02
"35282","sugieren",0.12,0,0,0.04,0.08,0,0,0.02
"35283","sugiero",0.36,0.77,0.27,0.49,0.23,0.38,0.17,0.28
"35284","sugiriendo",0.36,0,0.13,0.15,0.16,0,0.08,0.07
"35285","sugirió",0.24,0,0.4,0.19,0.08,0,0.17,0.07
"35286","sui",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"35287","suicida",1.56,0.57,0.4,0.84,0.55,0.22,0.17,0.3
"35288","suicidaban",0.12,0,0,0.04,0.08,0,0,0.02
"35289","suicidado",0.12,0.29,0,0.15,0.08,0.16,0,0.09
"35290","suicidando",0.12,0,0,0.04,0.08,0,0,0.02
"35291","suicidar",0.36,0.48,0,0.3,0.23,0.27,0,0.19
"35292","suicidarme",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"35293","suicidaron",0.24,0.1,0,0.11,0.16,0.05,0,0.07
"35294","suicidarse",0.48,0.77,0.13,0.49,0.23,0.38,0.08,0.26
"35295","suicidarte",0.12,0,0,0.04,0.08,0,0,0.02
"35296","suicidas",0.48,0.29,0,0.27,0.16,0.16,0,0.12
"35297","suicide",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"35298","suicidio",1.68,3.06,2.13,2.35,0.78,0.82,0.67,0.77
"35299","suicidios",0.12,0.19,0.13,0.15,0.08,0.05,0.08,0.07
"35300","suicidó",0.48,1.34,0.66,0.87,0.31,0.49,0.17,0.35
"35301","suis",0.24,0.1,0.27,0.19,0.08,0.05,0.17,0.09
"35302","suite",0.84,0.67,0.53,0.68,0.55,0.22,0.25,0.33
"35303","suiza",0.6,1.05,0.93,0.87,0.39,0.38,0.25,0.35
"35304","suizas",0.12,0,0.27,0.11,0.08,0,0.08,0.05
"35305","suizo",1.08,0.38,0,0.49,0.23,0.16,0,0.14
"35306","suizos",0.24,0.29,0,0.19,0.08,0.16,0,0.09
"35307","sujeta",0.24,0.96,0.13,0.49,0.16,0.49,0.08,0.28
"35308","sujetámelo",0.12,0,0,0.04,0.08,0,0,0.02
"35309","sujetar",0.12,0.29,0,0.15,0.08,0.11,0,0.07
"35310","sujetarse",0.12,0,0,0.04,0.08,0,0,0.02
"35311","sujetas",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"35312","sujeten",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"35313","sujeto",1.68,1.34,3.19,1.97,0.62,0.38,0.84,0.58
"35314","sujetos",0.36,0.1,0.27,0.23,0.23,0.05,0.17,0.14
"35315","sul",0.48,0,0,0.15,0.16,0,0,0.05
"35316","suli",0.12,0,0,0.04,0.08,0,0,0.02
"35317","sulmanes",0.12,0,0,0.04,0.08,0,0,0.02
"35318","sultán",0.36,0.29,1.2,0.57,0.16,0.16,0.25,0.19
"35319","suma",2.03,0.57,1.46,1.29,1.09,0.16,0.67,0.58
"35320","súmame",0.12,0,0,0.04,0.08,0,0,0.02
"35321","sumamente",0.48,0.57,0.13,0.42,0.31,0.22,0.08,0.21
"35322","suman",0.24,0.1,0,0.11,0.16,0.05,0,0.07
"35323","sumando",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"35324","sumándose",0.12,0,0,0.04,0.08,0,0,0.02
"35325","sumar",0.6,0.1,0,0.23,0.31,0.05,0,0.12
"35326","sumario",0.72,0.1,0.13,0.3,0.39,0.05,0.08,0.16
"35327","sumarlo",0.12,0,0,0.04,0.08,0,0,0.02
"35328","sumarme",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"35329","sumarse",0.12,0,0,0.04,0.08,0,0,0.02
"35330","sumas",0.24,0.1,0,0.11,0.16,0.05,0,0.07
"35331","sumatoria",0.12,0,0,0.04,0.08,0,0,0.02
"35332","súmelo",0.12,0,0,0.04,0.08,0,0,0.02
"35333","sumerge",0.12,0,0,0.04,0.08,0,0,0.02
"35334","sumergían",0.12,0,0,0.04,0.08,0,0,0.02
"35335","sumergible",0.12,0,0,0.04,0.08,0,0,0.02
"35336","sumergido",0.6,0.1,0,0.23,0.23,0.05,0,0.09
"35337","sumergimos",0.12,0,0,0.04,0.08,0,0,0.02
"35338","sumergirme",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"35339","sumergite",0.24,0,0,0.08,0.08,0,0,0.02
"35340","sumes",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"35341","sumida",0.24,0.1,0,0.11,0.08,0.05,0,0.05
"35342","sumidero",0.12,0,0,0.04,0.08,0,0,0.02
"35343","suministraba",0.12,0,0,0.04,0.08,0,0,0.02
"35344","suministrarle",0.12,0,0,0.04,0.08,0,0,0.02
"35345","suministro",0.24,0.1,0,0.11,0.16,0.05,0,0.07
"35346","suministró",0.12,0,0,0.04,0.08,0,0,0.02
"35347","suministros",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"35348","sumó",0.96,0.77,0.27,0.68,0.47,0.27,0.17,0.3
"35349","sunante",0.12,0,0,0.04,0.08,0,0,0.02
"35350","suncho",0.24,0,0,0.08,0.08,0,0,0.02
"35351","suo",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"35352","suona",0.24,0.48,0,0.27,0.08,0.05,0,0.05
"35353","suonerá",0.6,0,0,0.19,0.08,0,0,0.02
"35354","suoni",0.48,0,0,0.15,0.08,0,0,0.02
"35355","supe",2.75,2.49,5.32,3.38,1.48,1.15,2.61,1.65
"35356","super",0.72,1.15,0.13,0.72,0.39,0.27,0.08,0.26
"35357","súper",1.32,3.16,4.12,2.85,0.55,0.77,0.59,0.65
"35358","supera",1.08,0.29,0.27,0.53,0.62,0.16,0.17,0.3
"35359","superaban",0.12,0,0,0.04,0.08,0,0,0.02
"35360","superadas",0.12,0,0,0.04,0.08,0,0,0.02
"35361","superado",0.36,0.57,0.4,0.46,0.23,0.33,0.17,0.26
"35362","superan",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"35363","superándose",0.12,0,0,0.04,0.08,0,0,0.02
"35364","superar",0.96,0.86,0.4,0.76,0.62,0.49,0.17,0.44
"35365","superarnos",0.12,0,0,0.04,0.08,0,0,0.02
"35366","superarse",0.12,0,0.27,0.11,0.08,0,0.17,0.07
"35367","superávit",0.12,0,0,0.04,0.08,0,0,0.02
"35368","superclandestinos",0.12,0,0,0.04,0.08,0,0,0.02
"35369","superdotado",0.48,0,0,0.15,0.31,0,0,0.09
"35370","superficial",0.36,0.38,0.4,0.38,0.23,0.22,0.17,0.21
"35371","superficie",1.8,0.48,0.4,0.87,0.78,0.27,0.25,0.42
"35372","superficies",0.24,0,0,0.08,0.08,0,0,0.02
"35373","supergrave",0.12,0,0,0.04,0.08,0,0,0.02
"35374","superior",5.51,2.68,2.39,3.49,1.17,1.09,1.43,1.21
"35375","superiora",0.24,0.38,0.13,0.27,0.16,0.11,0.08,0.12
"35376","superiores",0.96,0.77,1.73,1.1,0.62,0.44,0.67,0.56
"35377","superioridad",0.12,0.29,0.27,0.23,0.08,0.11,0.08,0.09
"35378","superman",0.6,0.19,0.53,0.42,0.23,0.05,0.17,0.14
"35379","supermercado",2.39,0.96,0.27,1.22,0.94,0.22,0.17,0.42
"35380","supermercados",0.24,0.1,0,0.11,0.16,0.05,0,0.07
"35381","superó",0.24,0.1,0.13,0.15,0.16,0.05,0.08,0.09
"35382","superpijo",0.12,0,0,0.04,0.08,0,0,0.02
"35383","supervisa",0.24,0,0,0.08,0.16,0,0,0.05
"35384","supervisado",0.24,0,0,0.08,0.16,0,0,0.05
"35385","supervisamos",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"35386","supervisando",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"35387","supervisión",0.24,0.1,0,0.11,0.16,0.05,0,0.07
"35388","supervisor",0.48,0.29,0.53,0.42,0.23,0.11,0.08,0.14
"35389","supervivencia",0.24,0.48,0,0.27,0.16,0.16,0,0.12
"35390","superviviente",0.12,0.19,0.13,0.15,0.08,0.11,0.08,0.09
"35391","supervivientes",0.24,0.19,0,0.15,0.16,0.11,0,0.09
"35392","supiera",1.2,2.2,3.19,2.16,0.7,1.09,1.68,1.14
"35393","supieran",0.12,0.19,1.06,0.42,0.08,0.11,0.5,0.21
"35394","supieras",0.72,0.67,1.06,0.8,0.47,0.38,0.5,0.44
"35395","supieron",0.36,0.29,0.4,0.34,0.23,0.11,0.25,0.19
"35396","supiese",0.12,0.38,0.27,0.27,0.08,0.16,0.17,0.14
"35397","supieses",0.12,0,0,0.04,0.08,0,0,0.02
"35398","supimos",1.44,0.1,0.53,0.65,0.7,0.05,0.34,0.33
"35399","supiste",0.96,0.86,1.59,1.1,0.62,0.44,0.84,0.6
"35400","suplantarla",0.12,0,0,0.04,0.08,0,0,0.02
"35401","suplementos",0.24,0.1,0,0.11,0.16,0.05,0,0.07
"35402","suplente",0.24,0.1,0.27,0.19,0.16,0.05,0.17,0.12
"35403","suplentes",0.12,0,0,0.04,0.08,0,0,0.02
"35404","suplía",0.12,0,0,0.04,0.08,0,0,0.02
"35405","suplic",0.12,0,0,0.04,0.08,0,0,0.02
"35406","suplica",0.12,0,0.66,0.23,0.08,0,0.25,0.09
"35407","súplica",0.24,0,0.27,0.15,0.16,0,0.17,0.09
"35408","suplicarle",0.12,0,0,0.04,0.08,0,0,0.02
"35409","suplicio",0.24,0,0,0.08,0.16,0,0,0.05
"35410","suplicó",1.32,2.49,3.85,2.51,0.55,1.09,1.51,1.05
"35411","supliqués",0.12,0,0,0.04,0.08,0,0,0.02
"35412","supo",1.68,2.01,2.39,2.01,0.78,0.98,1.18,0.98
"35413","supone",2.51,4.97,3.85,3.87,1.33,1.91,1.85,1.72
"35414","suponer",0.36,0.57,1.2,0.68,0.23,0.22,0.67,0.35
"35415","suponete",0.48,0,0,0.15,0.23,0,0,0.07
"35416","suponga",0.12,0.29,0.13,0.19,0.08,0.16,0.08,0.12
"35417","supongamos",0.72,0.48,0.13,0.46,0.39,0.27,0.08,0.26
"35418","supongan",0.12,0,0,0.04,0.08,0,0,0.02
"35419","supóngase",0.12,0,0,0.04,0.08,0,0,0.02
"35420","supongo",8.14,17.99,11.56,13.02,3.52,4.26,3.87,3.93
"35421","suponía",0.36,1.24,0.4,0.72,0.23,0.71,0.25,0.44
"35422","supono",0.24,0,0,0.08,0.08,0,0,0.02
"35423","suposición",0.12,0.29,0.13,0.19,0.08,0.16,0.08,0.12
"35424","suposiciones",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"35425","supra",0.12,0,0,0.04,0.08,0,0,0.02
"35426","suprascripta",0.12,0,0,0.04,0.08,0,0,0.02
"35427","suprema",0.6,0.29,0.53,0.46,0.23,0.16,0.34,0.23
"35428","supremamente",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"35429","supremitas",0.12,0,0,0.04,0.08,0,0,0.02
"35430","supremo",0.24,0.1,0.8,0.34,0.16,0.05,0.42,0.19
"35431","supremos",0.12,0,0,0.04,0.08,0,0,0.02
"35432","supresión",0.12,0.38,0,0.19,0.08,0.05,0,0.05
"35433","suprimir",0.12,0.19,0.4,0.23,0.08,0.11,0.17,0.12
"35434","supuesta",0.12,0,0.27,0.11,0.08,0,0.17,0.07
"35435","supuestamente",1.44,0.38,0.27,0.68,0.86,0.16,0.17,0.37
"35436","supuestas",0.12,0,0,0.04,0.08,0,0,0.02
"35437","supuesto",15.32,11.58,15.02,13.75,4.92,3.5,3.45,3.91
"35438","supuestos",0.12,0.1,0.27,0.15,0.08,0.05,0.17,0.09
"35439","supura",0.12,0,0,0.04,0.08,0,0,0.02
"35440","supuraba",0.12,0,0,0.04,0.08,0,0,0.02
"35441","supuse",0.12,0.29,0.13,0.19,0.08,0.16,0.08,0.12
"35442","supuso",0.12,0.19,0.13,0.15,0.08,0.05,0.08,0.07
"35443","suquía",0.24,0,0,0.08,0.08,0,0,0.02
"35444","sur",6.82,2.3,4.25,4.29,1.95,0.87,1.43,1.35
"35445","surca",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"35446","surcando",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"35447","surcos",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"35448","sure",0.12,0.1,0.93,0.34,0.08,0.05,0.25,0.12
"35449","sureños",0.12,0,0,0.04,0.08,0,0,0.02
"35450","surf",0.12,0,0.53,0.19,0.08,0,0.17,0.07
"35451","surge",0.6,0.57,0,0.42,0.31,0.27,0,0.21
"35452","surgen",0.12,0.38,0.13,0.23,0.08,0.22,0.08,0.14
"35453","surgía",0.12,0,0,0.04,0.08,0,0,0.02
"35454","surgido",0.12,0.86,0.27,0.46,0.08,0.44,0.17,0.26
"35455","surgieron",0.24,0,0.27,0.15,0.16,0,0.17,0.09
"35456","surgió",0.48,0.19,0.66,0.42,0.31,0.05,0.34,0.21
"35457","surgir",0.36,0.1,0.27,0.23,0.23,0.05,0.17,0.14
"35458","surgirán",0.12,0,0,0.04,0.08,0,0,0.02
"35459","surja",0.12,0,0.13,0.08,0.08,0,0.08,0.05
"35460","surjan",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"35461","surmenage",0.24,0,0,0.08,0.08,0,0,0.02
"35462","surprise",0.24,0,0.13,0.11,0.16,0,0.08,0.07
"35463","surrealista",0.12,0,0.27,0.11,0.08,0,0.08,0.05
"35464","surtidor",0.96,0,0,0.3,0.16,0,0,0.05
"35465","surtidos",0.24,0,0,0.08,0.16,0,0,0.05
"35466","surubí",0.36,0,0,0.11,0.23,0,0,0.07
"35467","sus",66.66,86.87,144.57,96.95,7.89,8.69,9.33,8.63
"35468","susan",0.36,1.53,0,0.72,0.16,0.05,0,0.07
"35469","susana",23.1,1.05,0.4,7.86,1.17,0.16,0.17,0.47
"35470","susanita",1.68,0,0,0.53,0.39,0,0,0.12
"35471","susceptible",0.24,0.19,0,0.15,0.16,0.11,0,0.09
"35472","susceptibles",0.24,0,0.13,0.11,0.08,0,0.08,0.05
"35473","suscribió",0.12,0,0,0.04,0.08,0,0,0.02
"35474","suscripción",0.12,0.29,0,0.15,0.08,0.05,0,0.05
"35475","suscripto",0.84,0,0,0.27,0.08,0,0,0.02
"35476","suserable",0.12,0,0,0.04,0.08,0,0,0.02
"35477","sushi",0.48,0,0.13,0.19,0.16,0,0.08,0.07
"35478","susi",2.51,0.29,0,0.91,0.23,0.11,0,0.12
"35479","susodicho",0.12,0,0,0.04,0.08,0,0,0.02
"35480","susparadi",0.12,0,0,0.04,0.08,0,0,0.02
"35481","suspenda",0.12,0.1,0.27,0.15,0.08,0.05,0.17,0.09
"35482","suspende",0.12,0.29,0.4,0.27,0.08,0.16,0.25,0.16
"35483","suspenden",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"35484","suspender",0.6,0.48,0.4,0.49,0.39,0.27,0.25,0.3
"35485","suspenderá",0.12,0,0,0.04,0.08,0,0,0.02
"35486","suspenderla",0.12,0,0,0.04,0.08,0,0,0.02
"35487","suspenderlo",0.12,0,0,0.04,0.08,0,0,0.02
"35488","suspendían",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"35489","suspendido",0.36,1.15,0.53,0.72,0.23,0.44,0.34,0.35
"35490","suspendidos",0.24,0,0.13,0.11,0.16,0,0.08,0.07
"35491","suspendieron",0.12,0,0.27,0.11,0.08,0,0.17,0.07
"35492","suspendió",0.72,0,0,0.23,0.39,0,0,0.12
"35493","suspendo",0.48,0,0.13,0.19,0.23,0,0.08,0.09
"35494","suspenso",1.08,0,0.4,0.46,0.39,0,0.08,0.14
"35495","suspicacias",0.12,0,0,0.04,0.08,0,0,0.02
"35496","suspira",1.91,1.53,0.13,1.25,0.86,0.33,0.08,0.42
"35497","suspiraban",0.12,0,0,0.04,0.08,0,0,0.02
"35498","suspiran",0.24,0,0,0.08,0.08,0,0,0.02
"35499","suspirar",0.48,0,0.4,0.27,0.08,0,0.08,0.05
"35500","suspiro",2.99,0.19,1.46,1.44,0.94,0.11,0.42,0.44
"35501","suspiros",3.23,0.19,0.27,1.18,1.02,0.05,0.17,0.37
"35502","sustancia",0.24,0.96,0,0.46,0.16,0.27,0,0.16
"35503","sustanciosa",0.12,0,0,0.04,0.08,0,0,0.02
"35504","sustentabilidad",0.12,0,0,0.04,0.08,0,0,0.02
"35505","sustentable",0.12,0,0,0.04,0.08,0,0,0.02
"35506","sustitución",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"35507","sustituir",0.24,0.38,0.13,0.27,0.16,0.22,0.08,0.16
"35508","sustituto",0.12,0.38,0.27,0.27,0.08,0.16,0.08,0.12
"35509","susto",3.11,4.69,5.71,4.48,1.56,2.02,2.27,1.95
"35510","sustraerse",0.12,0,0,0.04,0.08,0,0,0.02
"35511","susu",0.72,0,0,0.23,0.08,0,0,0.02
"35512","susurra",0.48,1.34,0,0.68,0.31,0.33,0,0.23
"35513","susurrando",0.6,0.1,0,0.23,0.31,0.05,0,0.12
"35514","susurro",0.12,0.19,0,0.11,0.08,0.11,0,0.07
"35515","susurró",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"35516","susurros",0.12,0.1,0.13,0.11,0.08,0.05,0.08,0.07
"35517","susy",0.48,0.19,0,0.23,0.16,0.05,0,0.07
"35518","sutil",0.48,0.38,0.27,0.38,0.23,0.22,0.17,0.21
"35519","sutileza",0.24,0,0,0.08,0.08,0,0,0.02
"35520","sutío",0.12,0,0,0.04,0.08,0,0,0.02
"35521","suuuuuuuu",0.12,0,0,0.04,0.08,0,0,0.02
"35522","suya",3.23,6.22,6.78,5.43,1.33,2.13,2.69,2.05
"35523","suyas",0.48,1.05,0.66,0.76,0.23,0.6,0.42,0.44
"35524","suyo",5.39,10.24,5.85,7.44,1.95,3.5,2.94,2.88
"35525","suyos",0.6,1.72,1.73,1.37,0.31,0.87,1.01,0.74
"35526","svoboda",0.12,0,0,0.04,0.08,0,0,0.02
"35527","swahili",0.12,0,0,0.04,0.08,0,0,0.02
"35528","swami",0.36,0.1,0,0.15,0.08,0.05,0,0.05
"35529","sweater",0.12,0,0,0.04,0.08,0,0,0.02
"35530","sweet",0.48,0.19,0.27,0.3,0.16,0.11,0.17,0.14
"35531","swing",0.24,0,0.4,0.19,0.16,0,0.17,0.09
"35532","swinger",0.12,0,0,0.04,0.08,0,0,0.02
"35533","swinging",0.12,0,0,0.04,0.08,0,0,0.02
"35534","switch",0.12,0,0.53,0.19,0.08,0,0.34,0.12
"35535","switches",0.12,0,0,0.04,0.08,0,0,0.02
"35536","sycamore",0.12,0,0,0.04,0.08,0,0,0.02
"35537","systems",0.12,0,0,0.04,0.08,0,0,0.02
"35538","t",3.23,12.92,2.26,6.8,0.78,1.04,0.84,0.91
"35539","ta",2.51,4.21,2.92,3.3,1.02,0.55,0.59,0.7
"35540","tá",0.48,0,0.93,0.42,0.23,0,0.25,0.14
"35541","taaaan",0.12,0,0,0.04,0.08,0,0,0.02
"35542","taaan",0.12,0,0,0.04,0.08,0,0,0.02
"35543","taba",0.36,0.1,0.4,0.27,0.23,0.05,0.17,0.14
"35544","tabaco",0.84,3.25,1.59,2.01,0.55,1.2,0.34,0.77
"35545","taberna",0.48,0.29,0.4,0.38,0.23,0.16,0.17,0.19
"35546","tabernas",0.12,0,0,0.04,0.08,0,0,0.02
"35547","tabla",1.44,0.1,0.53,0.65,0.55,0.05,0.25,0.26
"35548","tablada",0.24,0,0,0.08,0.16,0,0,0.05
"35549","tablas",0.36,0.1,0.66,0.34,0.16,0.05,0.25,0.14
"35550","tablero",0.12,0.29,0.27,0.23,0.08,0.16,0.17,0.14
"35551","tablita",0.24,0,0.13,0.11,0.08,0,0.08,0.05
"35552","tablones",0.12,0.1,0,0.08,0.08,0.05,0,0.05
"35553","taborda",0.12,0,0,0.04,0.08,0,0,0.02
"35554","tabú",0.12,0,0,0.04,0.08,0,0,0.02
"35555","tac",1.32,0.38,0,0.57,0.16,0.16,0,0.12
"35556","tacaño",0.12,0.19,0.4,0.23,0.08,0.11,0.25,0.14
"35557","tacatátantan",0.12,0,0,0.04,0.08,0,0,0.02
"35558","tachá",0.24,0,0,0.08,0.08,0,0,0.02
"35559","tachaste",0.12,0,0,0.04,0.08,0,0,0.02
"35560","tachero",0.12,0,0,0.04,0.08,0,0,0.02
"35561","tacho",0.48,0,0,0.15,0.31,0,0,0.09
"35562","tácita",0.24,0.19,0.27,0.23,0.16,0.11,0.17,0.14
"35563","taco",0.36,0,1.33,0.49,0.16,0,0.76,0.26
"35564","tacón",0.12,0.57,0.13,0.3,0.08,0.33,0.08,0.19
"35565","tacones",0.24,0.29,0.13,0.23,0.16,0.16,0.08,0.14
"35566","tacos",0.48,0.1,1.59,0.65,0.23,0.05,0.76,0.3
"35567","táctico",0.12,0,0,0.04,0.08,0,0,0.02
"35568","tacto",0.48,0.29,0,0.27,0.31,0.16,0,0.16
"35569","tacuarí",0.12,0,0,0.04,0.08,0,0,0.02
